Open time,mempool_size,transaction_rate,market_cap_usd,average_block_size,market_price_usd,exchange_volume_usd,average_confirmation_time,hash_rate,difficulty,miners_revenue,total_transaction_fees
2021-12-14,1052899.25,3.283333333333333,883761602726.2499,1.1495425202702705,46757.09,503961475.5761,13.663771020223598,178007627.4567432,24195286980614.0,44651133.47405578,11.712147920000001
2021-12-15,2105345.75,3.2333333333333334,914700857009.0625,1.3965797588652482,48392.79,345859882.6347,15.508692152255705,169588347.7797351,24195286980614.0,43208574.52487161,11.622151509999998
2021-12-16,2289670.0,3.166666666666667,924037397184.0001,1.275047686956522,48884.66,432899084.32320005,17.571176341703076,138316737.55084777,24195286980614.0,35647706.322254986,10.470706909999999
2021-12-17,20384879.75,3.0,900897080275.5,1.243847013422818,47658.38,273509536.4848,29.35283493519715,179210381.69631582,24195286980614.0,45001267.21451994,12.996682629999995
2021-12-18,1619935.75,2.6,872868073222.125,1.1942178515624997,46173.51,356309895.02760005,70.53350322309534,153952542.66529143,24195286980614.0,37344542.956068635,8.787180270000006
2021-12-19,442873.0,2.3666666666666667,885955338166.5,0.7865209597315433,46863.67,159581106.35739997,8.082833864863558,179210381.69631582,24195286980614.0,44556197.850929074,6.98352275
2021-12-20,1999124.0,3.2,882701253808.0,1.2485019027777782,46689.28,192533517.7216,17.72051401433016,173196610.49845287,24195286980614.0,42533811.43613241,10.997373189999998
2021-12-21,1093668.75,3.408333333333333,886921472043.0938,1.1103203602484477,46910.13,276202623.5283,14.938174982102039,193643432.5711869,24195286980614.0,48349569.819188565,11.896223660000002
2021-12-22,1233377.75,3.425,925244756804.9375,1.2057872229729725,48934.57,345514275.7818,13.426591615529736,178007627.4567432,24195286980614.0,45795454.37454408,10.850756929999998
2021-12-23,1067093.75,3.375,919500249317.3438,1.1247780263157896,48628.35,211733671.302,14.834561677756911,182818644.41503358,24195286980614.0,47340546.687688515,10.978315770000004
2021-12-24,36050834.75,3.2,960340416434.9062,1.239346907284769,50785.69,312600141.9432,23.08709954973523,181615890.175461,24195286980614.0,49180777.12235141,12.067905989999998
2021-12-25,7358064.75,2.3666666666666667,960940626152.0,1.1643887142857148,50814.92,239081657.85399997,61.248114669813496,177149566.7855162,24242457398797.266,47109105.267881535,8.32231002
2021-12-26,783129.25,2.3,954479289905.8125,0.9842661492537317,50470.89,123194900.1099,14.51151271491644,161682278.52670813,24272331996980.0,42660691.90296564,7.7534104899999985
2021-12-27,5691850.0,3.25,960769007722.375,1.2289302027027027,50801.11,141498363.7274,26.788379744597773,178574456.88024485,24272331996980.0,47659524.9782583,13.15912641
2021-12-28,17933022.5,3.4416666666666664,958755826148.125,1.4707452537313435,50692.3,193668918.30400002,50.51799176121155,161682278.52670813,24272331996980.0,43360200.30927323,17.86068218000001
2021-12-29,8975110.0,3.3,900335735535.6875,1.4020079172413797,47601.26,358069054.04760003,95.1002416709584,174954704.37591556,24272331996980.0,43919738.49894784,16.40915858
2021-12-30,13151892.75,3.158333333333333,877821020523.3438,1.4402397563025209,46408.87,265370559.54700002,34.96422565886284,143583516.00506175,24272331996980.0,35335901.07549222,17.654039259999998
2021-12-31,7966008.25,2.9916666666666667,891556466444.0,1.394028362416107,47132.96,266888972.0112,79.84492274930687,179781041.0483546,24272331996980.0,44744369.164881885,18.072282429999998
2022-01-01,390412.75,2.2333333333333334,874893243018.375,0.6976989127906976,46249.56,313877726.39159995,5.666155357909443,207532476.9148791,24272331996980.0,50149010.75444461,9.313250859999998
2022-01-02,664444.0,2.3,903577572055.2188,0.7881834177215187,47763.33,180494758.2702,8.913935297510125,190640298.56134245,24272331996980.0,48206934.99043735,9.25751769
